latitude,longitude,depth
35.153270,129.131930,10.78925135
35.153270,129.132040,11.84112068
35.153270,129.132150,14.17731802
35.153270,129.132260,14.01658167
35.153270,129.132370,14.44263791
35.153270,129.132480,17.23173424
35.153270,129.132590,16.16443875
35.153270,129.132700,12.93280929
35.153270,129.132810,14.23675139
35.153270,129.132920,16.09377568
35.153270,129.133030,17.38865471
35.153270,129.133140,14.58679749
35.153270,129.133250,17.16431032
35.153270,129.133360,14.68185401
35.153270,129.133470,15.5284126
35.153270,129.133580,13.19650258
35.153270,129.133690,15.6555702
35.153270,129.133800,13.44793736
35.153270,129.133910,14.60493706
35.153270,129.134020,14.64395268
35.153180,129.134020,13.82507372
35.153180,129.133910,17.1028676
35.153180,129.133800,15.79595581
35.153180,129.133690,13.90270272
35.153180,129.133580,12.89381319
35.153180,129.133470,15.86446846
35.153180,129.133360,15.44515751
35.153180,129.133250,17.99068506
35.153180,129.133140,16.04892391
35.153180,129.133030,14.52135688
35.153180,129.132920,14.98796379
35.153180,129.132810,12.64661548
35.153180,129.132700,15.44318336
35.153180,129.132590,14.21970655
35.153180,129.132480,13.86370248
35.153180,129.132370,12.83317143
35.153180,129.132260,11.5622462
35.153180,129.132150,11.69537713
35.153180,129.132040,10.78926677
35.153180,129.131930,12.09829807
35.153090,129.131930,13.02434182
35.153090,129.132040,11.92506479
35.153090,129.132150,12.86895203
35.153090,129.132260,12.49945526
35.153090,129.132370,13.96506036
35.153090,129.132480,13.27839009
35.153090,129.132590,13.42224881
35.153090,129.132700,13.03089765
35.153090,129.132810,13.9674041
35.153090,129.132920,12.85876576
35.153090,129.133030,11.80902542
35.153090,129.133140,13.75112397
35.153090,129.133250,15.5205694
35.153090,129.133360,18.44454329
35.153090,129.133470,17.51565011
35.153090,129.133580,14.8292377
35.153090,129.133690,13.67094186
35.153090,129.133800,15.248523
35.153090,129.133910,17.77563224
35.153090,129.134020,15.46473683
35.153000,129.134020,13.69731654
35.153000,129.133910,14.49371371
35.153000,129.133800,12.63892946
35.153000,129.133690,14.19954063
35.153000,129.133580,15.46098118
35.153000,129.133470,17.57129324
35.153000,129.133360,15.99403775
35.153000,129.133250,13.332557
35.153000,129.133140,13.78036278
35.153000,129.133030,11.98484413
35.153000,129.132920,10.75134233
35.153000,129.132810,12.23378645
35.153000,129.132700,13.18630236
35.153000,129.132590,11.95476844
35.153000,129.132480,11.44999717
35.153000,129.132370,12.13566713
35.153000,129.132260,11.84828606
35.153000,129.132150,10.54055824
35.153000,129.132040,10.56760645
35.153000,129.131930,12.99003757
35.152910,129.131930,10.73182191
35.152910,129.132040,10.88972634
35.152910,129.132150,9.720514555
35.152910,129.132260,11.01157955
35.152910,129.132370,9.890353815
35.152910,129.132480,9.699088641
35.152910,129.132590,11.42944641
35.152910,129.132700,13.1020042
35.152910,129.132810,12.50901359
35.152910,129.132920,10.39513554
35.152910,129.133030,9.757432667
35.152910,129.133140,11.4838379
35.152910,129.133250,13.33702001
35.152910,129.133360,15.82107233
35.152910,129.133470,18.92750085
35.152910,129.133580,17.12082524
35.152910,129.133690,15.85950124
35.152910,129.133800,13.50423019
35.152910,129.133910,12.97293831
35.152910,129.134020,11.83113521
35.152820,129.134020,12.57065755
35.152820,129.133910,15.1394521
35.152820,129.133800,15.88996436
35.152820,129.133690,17.40091196
35.152820,129.133580,15.53758236
35.152820,129.133470,15.30152871
35.152820,129.133360,12.80668004
35.152820,129.133250,10.91078557
35.152820,129.133140,9.390719067
35.152820,129.133030,8.299181252
35.152820,129.132920,9.696373699
35.152820,129.132810,11.3503306
35.152820,129.132700,11.21600058
35.152820,129.132590,11.81841655
35.152820,129.132480,10.88171123
35.152820,129.132370,11.78754742
35.152820,129.132260,10.04820285
35.152820,129.132150,10.00467916
35.152820,129.132040,11.05785259
35.152820,129.131930,9.491093749
35.152730,129.131930,8.052444116
35.152730,129.132040,8.903370992
35.152730,129.132150,10.31166651
35.152730,129.132260,11.60481528
35.152730,129.132370,12.75107248
35.152730,129.132480,10.93774485
35.152730,129.132590,10.53381677
35.152730,129.132700,12.29860171
35.152730,129.132810,11.37644112
35.152730,129.132920,10.65963448
35.152730,129.133030,9.377934572
35.152730,129.133140,11.07680964
35.152730,129.133250,8.930827628
35.152730,129.133360,10.25927041
35.152730,129.133470,12.29041194
35.152730,129.133580,12.56611965
