latitude,longitude,depth
35.153270,129.131930,0.36
35.153270,129.132040,0.10
35.153270,129.132150,0.05
35.153270,129.132260,0.72
35.153270,129.132370,0.12
35.153270,129.132480,0.72
35.153270,129.132590,0.36
35.153270,129.132700,0.46
35.153270,129.132810,0.31
35.153270,129.132920,0.27
35.153270,129.133030,0.45
35.153270,129.133140,0.93
35.153270,129.133250,0.73
35.153270,129.133360,0.98
35.153270,129.133470,0.10
35.153270,129.133580,0.56
35.153270,129.133690,0.09
35.153270,129.133800,0.10
35.153270,129.133910,0.24
35.153270,129.134020,0.29
35.153180,129.134020,0.48
35.153180,129.133910,0.88
35.153180,129.133800,0.78
35.153180,129.133690,0.72
35.153180,129.133580,0.60
35.153180,129.133470,0.81
35.153180,129.133360,0.89
35.153180,129.133250,0.13
35.153180,129.133140,0.54
35.153180,129.133030,0.91
35.153180,129.132920,0.26
35.153180,129.132810,0.71
35.153180,129.132700,0.14
35.153180,129.132590,0.34
35.153180,129.132480,0.37
35.153180,129.132370,0.00
35.153180,129.132260,0.00
35.153180,129.132150,0.00
35.153180,129.132040,0.87
35.153180,129.131930,0.81
35.153090,129.131930,0.57
35.153090,129.132040,0.00
35.153090,129.132150,2.03
35.153090,129.132260,2.87
35.153090,129.132370,2.03
35.153090,129.132480,0.00
35.153090,129.132590,0.05
35.153090,129.132700,0.32
35.153090,129.132810,0.21
35.153090,129.132920,0.34
35.153090,129.133030,0.09
35.153090,129.133140,0.05
35.153090,129.133250,0.09
35.153090,129.133360,0.76
35.153090,129.133470,0.40
35.153090,129.133580,0.79
35.153090,129.133690,0.31
35.153090,129.133800,0.27
35.153090,129.133910,0.09
35.153090,129.134020,0.20
35.153000,129.134020,0.10
35.153000,129.133910,0.67
35.153000,129.133800,0.13
35.153000,129.133690,0.21
35.153000,129.133580,0.02
35.153000,129.133470,0.37
35.153000,129.133360,0.88
35.153000,129.133250,0.09
35.153000,129.133140,0.89
35.153000,129.133030,0.00
35.153000,129.132920,0.00
35.153000,129.132810,0.00
35.153000,129.132700,0.85
35.153000,129.132590,0.00
35.153000,129.132480,2.03
35.153000,129.132370,3.92
35.153000,129.132260,5.55
35.153000,129.132150,3.92
35.153000,129.132040,2.03
35.153000,129.131930,0.00
35.152910,129.131930,2.03
35.152910,129.132040,3.92
35.152910,129.132150,6.80
35.152910,129.132260,7.85
35.152910,129.132370,6.80
35.152910,129.132480,3.92
35.152910,129.132590,2.03
35.152910,129.132700,0.00
35.152910,129.132810,2.71
35.152910,129.132920,3.83
35.152910,129.133030,2.71
35.152910,129.133140,0.00
35.152910,129.133250,0.20
35.152910,129.133360,0.33
35.152910,129.133470,0.31
35.152910,129.133580,0.99
35.152910,129.133690,0.12
35.152910,129.133800,0.95
35.152910,129.133910,0.25
35.152910,129.134020,0.31
35.152820,129.134020,0.20
35.152820,129.133910,0.11
35.152820,129.133800,0.82
35.152820,129.133690,0.36
35.152820,129.133580,0.09
35.152820,129.133470,0.41
35.152820,129.133360,0.72
35.152820,129.133250,0.00
35.152820,129.133140,2.71
35.152820,129.133030,5.69
35.152820,129.132920,7.08
35.152820,129.132810,5.69
35.152820,129.132700,2.03
35.152820,129.132590,3.92
35.152820,129.132480,6.80
35.152820,129.132370,8.77
35.152820,129.132260,9.61
35.152820,129.132150,8.77
35.152820,129.132040,6.80
35.152820,129.131930,3.92
35.152730,129.131930,6.80
35.152730,129.132040,8.77
35.152730,129.132150,10.18
35.152730,129.132260,10.72
35.152730,129.132370,10.18
35.152730,129.132480,8.77
35.152730,129.132590,6.80
35.152730,129.132700,3.92
35.152730,129.132810,8.23
35.152730,129.132920,9.25
35.152730,129.133030,8.23
35.152730,129.133140,5.69
35.152730,129.133250,2.71
35.152730,129.133360,0.00
35.152730,129.133470,0.52
35.152730,129.133580,0.90
35.152730,129.133690,0.33
35.152730,129.133800,0.13
35.152730,129.133910,0.60
35.152730,129.134020,0.85
35.152640,129.134020,0.70
35.152640,129.133910,0.00
35.152640,129.133800,0.00
35.152640,129.133690,0.00
35.152640,129.133580,0.24
35.152640,129.133470,0.28
35.152640,129.133360,0.00
35.152640,129.133250,3.83
35.152640,129.133140,7.08
35.152640,129.133030,9.25
35.152640,129.132920,9.50
35.152640,129.132810,9.25
35.152640,129.132700,5.55
35.152640,129.132590,7.85
35.152640,129.132480,9.61
35.152640,129.132370,10.72
35.152640,129.132260,11.10
35.152640,129.132150,10.72
35.152640,129.132040,9.61
35.152640,129.131930,7.85
35.152550,129.131930,6.80
35.152550,129.132040,8.77
35.152550,129.132150,10.18
35.152550,129.132260,10.72
35.152550,129.132370,10.18
35.152550,129.132480,8.77
35.152550,129.132590,6.80
35.152550,129.132700,3.92
35.152550,129.132810,8.23
35.152550,129.132920,9.25
35.152550,129.133030,8.23
35.152550,129.133140,5.69
35.152550,129.133250,2.71
35.152550,129.133360,0.00
35.152550,129.133470,0.47
35.152550,129.133580,0.00
35.152550,129.133690,2.91
35.152550,129.133800,4.11
35.152550,129.133910,2.91
35.152550,129.134020,0.00
35.152460,129.134020,2.91
35.152460,129.133910,6.32
35.152460,129.133800,7.94
35.152460,129.133690,6.32
35.152460,129.133580,2.91
35.152460,129.133470,0.00
35.152460,129.133360,0.41
35.152460,129.133250,0.00
35.152460,129.133140,0.00
35.152460,129.133030,5.69
35.152460,129.132920,7.08
35.152460,129.132810,5.69
35.152460,129.132700,2.03
35.152460,129.132590,3.92
35.152460,129.132480,6.80
35.152460,129.132370,8.77
35.152460,129.132260,9.61
35.152460,129.132150,8.77
35.152460,129.132040,6.80
35.152460,129.131930,3.92
35.152370,129.131930,2.03
35.152370,129.132040,3.92
35.152370,129.132150,6.80
35.152370,129.132260,7.85
35.152370,129.132370,6.80
35.152370,129.132480,3.92
35.152370,129.132590,2.03
35.152370,129.132700,0.78
35.152370,129.132810,4.12
35.152370,129.132920,3.83
35.152370,129.133030,4.12
35.152370,129.133140,5.83
35.152370,129.133250,4.12
35.152370,129.133360,0.00
35.152370,129.133470,2.91
35.152370,129.133580,6.32
35.152370,129.133690,9.72
35.152370,129.133800,11.22
35.152370,129.133910,9.72
35.152370,129.134020,6.32
35.152280,129.134020,9.72
35.152280,129.133910,12.55
35.152280,129.133800,13.75
35.152280,129.133690,12.55
35.152280,129.133580,9.72
35.152280,129.133470,6.32
35.152280,129.133360,2.91
35.152280,129.133250,5.83
35.152280,129.133140,8.24
35.152280,129.133030,5.83
35.152280,129.132920,0.00
35.152280,129.132810,0.00
35.152280,129.132700,0.00
35.152280,129.132590,0.37
35.152280,129.132480,2.03
35.152280,129.132370,3.92
35.152280,129.132260,5.55
35.152280,129.132150,3.92
35.152280,129.132040,2.03
35.152280,129.131930,0.00
35.152190,129.131930,0.00
35.152190,129.132040,0.00
35.152190,129.132150,2.03
35.152190,129.132260,0.00
35.152190,129.132370,2.03
35.152190,129.132480,0.00
35.152190,129.132590,0.00
35.152190,129.132700,2.26
35.152190,129.132810,3.20
35.152190,129.132920,2.26
35.152190,129.133030,4.12
35.152190,129.133140,5.83
35.152190,129.133250,2.91
35.152190,129.133360,6.32
35.152190,129.133470,9.72
35.152190,129.133580,12.55
35.152190,129.133690,14.56
35.152190,129.133800,15.33
35.152190,129.133910,14.56
35.152190,129.134020,12.55
35.152100,129.134020,13.75
35.152100,129.133910,15.33
35.152100,129.133800,15.87
35.152100,129.133690,15.33
35.152100,129.133580,13.75
35.152100,129.133470,11.22
35.152100,129.133360,7.94
35.152100,129.133250,4.11
35.152100,129.133140,0.00
35.152100,129.133030,2.26
35.152100,129.132920,4.76
35.152100,129.132810,5.91
35.152100,129.132700,4.76
35.152100,129.132590,2.26
35.152100,129.132480,0.00
35.152100,129.132370,4.26
35.152100,129.132260,6.03
35.152100,129.132150,4.26
35.152100,129.132040,0.00
35.152100,129.131930,0.53
35.152010,129.131930,0.75
35.152010,129.132040,0.00
35.152010,129.132150,6.03
35.152010,129.132260,8.52
35.152010,129.132370,6.03
35.152010,129.132480,0.00
35.152010,129.132590,4.76
35.152010,129.132700,6.88
35.152010,129.132810,7.73
35.152010,129.132920,6.88
35.152010,129.133030,4.76
35.152010,129.133140,2.26
35.152010,129.133250,2.91
35.152010,129.133360,6.32
35.152010,129.133470,9.72
35.152010,129.133580,12.55
35.152010,129.133690,14.56
35.152010,129.133800,15.33
35.152010,129.133910,14.56
35.152010,129.134020,12.55
35.151920,129.134020,9.72
35.151920,129.133910,12.55
35.151920,129.133800,13.75
35.151920,129.133690,12.55
35.151920,129.133580,9.72
35.151920,129.133470,6.32
35.151920,129.133360,2.91
35.151920,129.133250,0.00
35.151920,129.133140,3.20
35.151920,129.133030,5.91
35.151920,129.132920,7.73
35.151920,129.132810,8.36
35.151920,129.132700,7.73
35.151920,129.132590,5.91
35.151920,129.132480,3.20
35.151920,129.132370,4.26
35.151920,129.132260,6.03
35.151920,129.132150,4.26
35.151920,129.132040,0.00
35.151920,129.131930,0.68
35.151830,129.131930,0.18
35.151830,129.132040,0.95
35.151830,129.132150,0.00
35.151830,129.132260,0.00
35.151830,129.132370,0.00
35.151830,129.132480,2.26
35.151830,129.132590,4.76
35.151830,129.132700,6.88
35.151830,129.132810,7.73
35.151830,129.132920,6.88
35.151830,129.133030,4.76
35.151830,129.133140,2.26
35.151830,129.133250,0.00
35.151830,129.133360,0.00
35.151830,129.133470,2.91
35.151830,129.133580,6.32
35.151830,129.133690,9.72
35.151830,129.133800,11.22
35.151830,129.133910,9.72
35.151830,129.134020,6.32
35.151740,129.134020,2.91
35.151740,129.133910,6.32
35.151740,129.133800,7.94
35.151740,129.133690,6.32
35.151740,129.133580,2.91
35.151740,129.133470,0.00
35.151740,129.133360,0.72
35.151740,129.133250,0.23
35.151740,129.133140,0.00
35.151740,129.133030,2.26
35.151740,129.132920,4.76
35.151740,129.132810,5.91
35.151740,129.132700,4.76
35.151740,129.132590,2.26
35.151740,129.132480,0.00
35.151740,129.132370,0.42
35.151740,129.132260,0.08
35.151740,129.132150,0.26
35.151740,129.132040,0.52
35.151740,129.131930,1.00
35.151650,129.131930,0.89
35.151650,129.132040,0.18
35.151650,129.132150,0.31
35.151650,129.132260,0.03
35.151650,129.132370,0.56
35.151650,129.132480,0.78
35.151650,129.132590,0.00
35.151650,129.132700,0.26
35.151650,129.132810,3.20
35.151650,129.132920,2.26
35.151650,129.133030,0.00
35.151650,129.133140,0.80
35.151650,129.133250,0.81
35.151650,129.133360,0.67
35.151650,129.133470,0.11
35.151650,129.133580,0.00
35.151650,129.133690,2.91
35.151650,129.133800,4.11
35.151650,129.133910,2.91
35.151650,129.134020,0.00
35.151560,129.134020,0.06
35.151560,129.133910,0.00
35.151560,129.133800,0.00
35.151560,129.133690,0.00
35.151560,129.133580,0.01
35.151560,129.133470,0.60
35.151560,129.133360,0.49
35.151560,129.133250,0.28
35.151560,129.133140,0.87
35.151560,129.133030,0.85
35.151560,129.132920,0.00
35.151560,129.132810,0.00
35.151560,129.132700,0.00
35.151560,129.132590,0.74
35.151560,129.132480,0.66
35.151560,129.132370,0.54
35.151560,129.132260,0.84
35.151560,129.132150,0.23
35.151560,129.132040,0.82
35.151560,129.131930,0.70
