latitude,longitude,depth
100,100,3.21
100,101,4.14
100,102,4.80
100,103,5.06
100,104,4.80
100,105,4.14
100,106,3.21
100,107,2.08
100,108,0.96
100,109,0.00
100,110,0.19
100,111,0.00
100,112,0.15
100,113,0.79
100,114,0.00
100,115,0.43
100,116,0.94
100,117,1.45
100,118,1.68
100,119,1.45
101,100,3.70
101,101,4.54
101,102,5.06
101,103,5.24
101,104,5.06
101,105,4.54
101,106,3.70
101,107,2.62
101,108,1.36
101,109,0.00
101,110,0.03
101,111,0.94
101,112,0.92
101,113,0.00
101,114,0.43
101,115,0.94
101,116,1.45
101,117,1.88
101,118,2.05
101,119,1.88
102,100,3.21
102,101,4.14
102,102,4.80
102,103,5.06
102,104,4.80
102,105,4.14
102,106,3.21
102,107,2.08
102,108,0.96
102,109,0.00
102,110,0.27
102,111,0.89
102,112,0.00
102,113,0.43
102,114,0.94
102,115,1.45
102,116,1.88
102,117,2.18
102,118,2.29
102,119,2.18
103,100,2.08
103,101,3.21
103,102,4.14
103,103,4.54
103,104,4.14
103,105,3.21
103,106,2.08
103,107,0.96
103,108,0.00
103,109,0.53
103,110,0.96
103,111,0.22
103,112,0.00
103,113,0.61
103,114,1.19
103,115,1.68
103,116,2.05
103,117,2.29
103,118,2.37
103,119,2.29
104,100,0.96
104,101,2.08
104,102,3.21
104,103,3.70
104,104,3.21
104,105,2.08
104,106,0.96
104,107,0.00
104,108,0.03
104,109,0.30
104,110,0.02
104,111,0.09
104,112,0.00
104,113,0.43
104,114,0.94
104,115,1.45
104,116,1.88
104,117,2.18
104,118,2.29
104,119,2.18
105,100,0.00
105,101,0.96
105,102,2.08
105,103,2.62
105,104,2.08
105,105,0.96
105,106,0.00
105,107,0.02
105,108,0.23
105,109,0.83
105,110,0.80
105,111,0.22
105,112,0.49
105,113,0.00
105,114,0.43
105,115,0.94
105,116,1.45
105,117,1.88
105,118,2.05
105,119,1.88
106,100,0.42
106,101,0.00
106,102,0.96
106,103,1.36
106,104,0.96
106,105,0.00
106,106,0.95
106,107,0.41
106,108,0.54
106,109,0.08
106,110,0.78
106,111,0.68
106,112,0.29
106,113,0.41
106,114,0.00
106,115,0.43
106,116,0.94
106,117,1.45
106,118,1.68
106,119,1.45
107,100,0.40
107,101,0.49
107,102,0.00
107,103,0.00
107,104,0.00
107,105,0.54
107,106,0.34
107,107,0.84
107,108,0.40
107,109,0.40
107,110,0.10
107,111,0.43
107,112,0.66
107,113,0.25
107,114,0.48
107,115,0.00
107,116,0.43
107,117,0.94
107,118,1.19
107,119,0.94
108,100,0.10
108,101,0.56
108,102,0.11
108,103,0.43
108,104,0.00
108,105,0.00
108,106,0.00
108,107,0.92
108,108,0.76
108,109,0.90
108,110,0.71
108,111,0.49
108,112,0.10
108,113,0.88
108,114,0.90
108,115,0.93
108,116,0.00
108,117,0.43
108,118,0.61
108,119,0.43
109,100,0.48
109,101,0.76
109,102,0.40
109,103,0.00
109,104,2.96
109,105,4.19
109,106,2.96
109,107,0.00
109,108,0.83
109,109,0.87
109,110,0.05
109,111,0.72
109,112,0.77
109,113,0.69
109,114,0.00
109,115,0.00
109,116,0.00
109,117,0.00
109,118,0.00
109,119,0.00
110,100,0.78
110,101,0.97
110,102,0.74
110,103,0.00
110,104,4.19
110,105,5.92
110,106,4.19
110,107,0.00
110,108,0.56
110,109,0.23
110,110,0.06
110,111,0.32
